course_id,college_id,course_name,specialization,duration_years,annual_fees,total_fees,intake
CRS00159,CLG0040,B.Tech,Mechanical Engineering,4,178782,715128,86
CRS00160,CLG0040,M.Tech,VLSI Design,2,58570,117140,24
CRS00161,CLG0041,B.Tech,Computer Science and Engineering,4,168270,673080,99
CRS00162,CLG0041,B.Tech,Electronics and Communication Engineering,4,168270,673080,106
CRS00163,CLG0041,B.Tech,Mechanical Engineering,4,168270,673080,91
CRS00164,CLG0041,M.Tech,VLSI Design,2,62973,125946,24
CRS00165,CLG0042,B.Tech,Computer Science and Engineering,4,168035,672140,112
CRS00166,CLG0042,B.Tech,Electronics and Communication Engineering,4,168035,672140,86
CRS00167,CLG0042,B.Tech,Mechanical Engineering,4,168035,672140,85
CRS00168,CLG0042,M.Tech,VLSI Design,2,61335,122670,27
CRS00169,CLG0043,B.Tech,Computer Science and Engineering,4,168935,675740,112
CRS00170,CLG0043,B.Tech,Electronics and Communication Engineering,4,168935,675740,91
CRS00171,CLG0043,B.Tech,Mechanical Engineering,4,168935,675740,97
CRS00172,CLG0043,M.Tech,VLSI Design,2,54241,108482,28
CRS00173,CLG0044,B.Tech,Computer Science and Engineering,4,173878,695512,91
CRS00174,CLG0044,B.Tech,Electronics and Communication Engineering,4,173878,695512,111
CRS00175,CLG0044,B.Tech,Mechanical Engineering,4,173878,695512,89
CRS00176,CLG0044,M.Tech,VLSI Design,2,59271,118542,28
CRS00177,CLG0045,B.Tech,Computer Science and Engineering,4,164339,657356,113
CRS00178,CLG0045,B.Tech,Electronics and Communication Engineering,4,164339,657356,86
CRS00179,CLG0045,B.Tech,Mechanical Engineering,4,164339,657356,110
CRS00180,CLG0045,M.Tech,VLSI Design,2,63933,127866,25
CRS00181,CLG0046,B.Tech,Computer Science and Engineering,4,166997,667988,96
CRS00182,CLG0046,B.Tech,Electronics and Communication Engineering,4,166997,667988,91
CRS00183,CLG0046,B.Tech,Mechanical Engineering,4,166997,667988,100
CRS00184,CLG0046,M.Tech,VLSI Design,2,64454,128908,27
CRS00185,CLG0047,B.Tech,Computer Science and Engineering,4,179940,719760,92
CRS00186,CLG0047,B.Tech,Electronics and Communication Engineering,4,179940,719760,95
CRS00187,CLG0047,B.Tech,Mechanical Engineering,4,179940,719760,92
CRS00188,CLG0047,M.Tech,VLSI Design,2,67335,134670,21
CRS00189,CLG0048,B.Tech,Computer Science and Engineering,4,167084,668336,99
CRS00190,CLG0048,B.Tech,Electronics and Communication Engineering,4,167084,668336,90
CRS00191,CLG0048,B.Tech,Mechanical Engineering,4,167084,668336,107
CRS00192,CLG0048,M.Tech,VLSI Design,2,61927,123854,22
CRS00193,CLG0049,B.Tech,Computer Science and Engineering,4,178451,713804,110
CRS00194,CLG0049,B.Tech,Electronics and Communication Engineering,4,178451,713804,98
CRS00195,CLG0049,B.Tech,Mechanical Engineering,4,178451,713804,86
CRS00196,CLG0049,M.Tech,VLSI Design,2,56063,112126,27
CRS00197,CLG0050,B.Tech,Computer Science and Engineering,4,171250,685000,97
CRS00198,CLG0050,B.Tech,Electronics and Communication Engineering,4,171250,685000,105
CRS00199,CLG0050,B.Tech,Mechanical Engineering,4,171250,685000,101
CRS00200,CLG0050,M.Tech,VLSI Design,2,58752,117504,25
CRS00201,CLG0051,B.Tech,Computer Science and Engineering,4,163143,652572,97
CRS00202,CLG0051,B.Tech,Electronics and Communication Engineering,4,163143,652572,92
CRS00203,CLG0051,B.Tech,Mechanical Engineering,4,163143,652572,104
CRS00204,CLG0051,M.Tech,VLSI Design,2,59767,119534,27
CRS00205,CLG0052,B.Tech,Computer Science and Engineering,4,179169,716676,96
CRS00206,CLG0052,B.Tech,Electronics and Communication Engineering,4,179169,716676,108
CRS00207,CLG0052,B.Tech,Mechanical Engineering,4,179169,716676,112
CRS00208,CLG0052,M.Tech,VLSI Design,2,67990,135980,26
CRS00209,CLG0053,B.Tech,Computer Science and Engineering,4,176609,706436,85
CRS00210,CLG0053,B.Tech,Electronics and Communication Engineering,4,176609,706436,103
CRS00211,CLG0053,B.Tech,Mechanical Engineering,4,176609,706436,113
CRS00212,CLG0053,M.Tech,VLSI Design,2,68852,137704,25
CRS00213,CLG0054,B.Tech,Computer Science and Engineering,4,162780,651120,108
CRS00214,CLG0054,B.Tech,Electronics and Communication Engineering,4,162780,651120,99
CRS00215,CLG0054,B.Tech,Mechanical Engineering,4,162780,651120,100
CRS00216,CLG0054,M.Tech,VLSI Design,2,58122,116244,26
CRS00217,CLG0055,B.Tech,Computer Science and Engineering,4,135537,542148,73
CRS00218,CLG0055,B.Tech,Information Technology,4,135537,542148,71
CRS00219,CLG0055,M.Tech,Data Science,2,71610,143220,78
CRS00220,CLG0055,M.Tech,Artificial Intelligence,2,71610,143220,63
CRS00221,CLG0056,B.Tech,Computer Science and Engineering,4,141177,564708,68
CRS00222,CLG0056,B.Tech,Information Technology,4,141177,564708,65
CRS00223,CLG0056,M.Tech,Data Science,2,69205,138410,80
CRS00224,CLG0056,M.Tech,Artificial Intelligence,2,69205,138410,61
CRS00225,CLG0057,B.Tech,Computer Science and Engineering,4,145182,580728,69
CRS00226,CLG0057,B.Tech,Information Technology,4,145182,580728,67
CRS00227,CLG0057,M.Tech,Data Science,2,76218,152436,74
CRS00228,CLG0057,M.Tech,Artificial Intelligence,2,76218,152436,66
CRS00229,CLG0058,B.Tech,Computer Science and Engineering,4,146646,586584,75
CRS00230,CLG0058,B.Tech,Information Technology,4,146646,586584,73
CRS00231,CLG0058,M.Tech,Data Science,2,82080,164160,77
CRS00232,CLG0058,M.Tech,Artificial Intelligence,2,82080,164160,80
CRS00233,CLG0059,B.Tech,Computer Science and Engineering,4,236055,944220,60
CRS00234,CLG0059,B.Tech,Information Technology,4,236055,944220,73
CRS00235,CLG0059,M.Tech,Data Science,2,131947,263894,61
CRS00236,CLG0059,M.Tech,Artificial Intelligence,2,131947,263894,64
CRS00237,CLG0060,B.Tech,Computer Science and Engineering,4,254510,1018040,66
CRS00238,CLG0060,B.Tech,Information Technology,4,254510,1018040,61
CRS00239,CLG0060,M.Tech,Data Science,2,127882,255764,70
CRS00240,CLG0060,M.Tech,Artificial Intelligence,2,127882,255764,71
CRS00241,CLG0061,B.Tech,Computer Science and Engineering,4,154005,616020,62
CRS00242,CLG0061,B.Tech,Information Technology,4,154005,616020,65
CRS00243,CLG0061,M.Tech,Data Science,2,78009,156018,77
CRS00244,CLG0061,M.Tech,Artificial Intelligence,2,78009,156018,79
CRS00245,CLG0062,B.Tech,Computer Science and Engineering,4,162243,648972,73
CRS00246,CLG0062,B.Tech,Information Technology,4,162243,648972,74
CRS00247,CLG0062,M.Tech,Data Science,2,74499,148998,65
CRS00248,CLG0062,M.Tech,Artificial Intelligence,2,74499,148998,69
CRS00249,CLG0063,B.Tech,Computer Science and Engineering,4,153084,612336,77
CRS00250,CLG0063,B.Tech,Information Technology,4,153084,612336,75
CRS00251,CLG0063,M.Tech,Data Science,2,74752,149504,80
CRS00252,CLG0063,M.Tech,Artificial Intelligence,2,74752,149504,69
CRS00253,CLG0064,B.Tech,Computer Science and Engineering,4,145629,582516,71
CRS00254,CLG0064,B.Tech,Information Technology,4,145629,582516,80
CRS00255,CLG0064,M.Tech,Data Science,2,73651,147302,64
CRS00256,CLG0064,M.Tech,Artificial Intelligence,2,73651,147302,60
CRS00257,CLG0065,B.Tech,Computer Science and Engineering,4,144447,577788,74
CRS00258,CLG0065,B.Tech,Information Technology,4,144447,577788,64
CRS00259,CLG0065,M.Tech,Data Science,2,71481,142962,63
CRS00260,CLG0065,M.Tech,Artificial Intelligence,2,71481,142962,68
CRS00261,CLG0066,B.Tech,Computer Science and Engineering,4,157635,630540,69
CRS00262,CLG0066,B.Tech,Information Technology,4,157635,630540,64
CRS00263,CLG0066,M.Tech,Data Science,2,69112,138224,65
CRS00264,CLG0066,M.Tech,Artificial Intelligence,2,69112,138224,76
CRS00265,CLG0067,B.Tech,Computer Science and Engineering,4,162810,651240,72
CRS00266,CLG0067,B.Tech,Information Technology,4,162810,651240,75
CRS00267,CLG0067,M.Tech,Data Science,2,73875,147750,77
CRS00268,CLG0067,M.Tech,Artificial Intelligence,2,73875,147750,75
CRS00269,CLG0068,B.Tech,Computer Science and Engineering,4,138168,552672,65
CRS00270,CLG0068,B.Tech,Information Technology,4,138168,552672,77
CRS00271,CLG0068,M.Tech,Data Science,2,81105,162210,77
CRS00272,CLG0068,M.Tech,Artificial Intelligence,2,81105,162210,70
CRS00273,CLG0069,B.Tech,Computer Science and Engineering,4,149997,599988,64
CRS00274,CLG0069,B.Tech,Information Technology,4,149997,599988,62
CRS00275,CLG0069,M.Tech,Data Science,2,76839,153678,76
CRS00276,CLG0069,M.Tech,Artificial Intelligence,2,76839,153678,68
CRS00277,CLG0070,B.Tech,Computer Science and Engineering,4,158988,635952,65
CRS00278,CLG0070,B.Tech,Information Technology,4,158988,635952,76
CRS00279,CLG0070,M.Tech,Data Science,2,78679,157358,62
CRS00280,CLG0070,M.Tech,Artificial Intelligence,2,78679,157358,73
CRS00281,CLG0071,B.Tech,Computer Science and Engineering,4,160809,643236,78
CRS00282,CLG0071,B.Tech,Information Technology,4,160809,643236,62
CRS00283,CLG0071,M.Tech,Data Science,2,70848,141696,79
CRS00284,CLG0071,M.Tech,Artificial Intelligence,2,70848,141696,63
CRS00285,CLG0072,B.Tech,Computer Science and Engineering,4,156549,626196,60
CRS00286,CLG0072,B.Tech,Information Technology,4,156549,626196,59
CRS00287,CLG0072,M.Tech,Data Science,2,71352,142704,77
CRS00288,CLG0072,M.Tech,Artificial Intelligence,2,71352,142704,65
CRS00289,CLG0073,B.Tech,Computer Science and Engineering,4,157511,630044,75
CRS00290,CLG0073,B.Tech,Information Technology,4,157511,630044,60
CRS00291,CLG0073,M.Tech,Data Science,2,68301,136602,67
CRS00292,CLG0073,M.Tech,Artificial Intelligence,2,68301,136602,68
CRS00293,CLG0074,B.Tech,Computer Science and Engineering,4,135237,540948,59
CRS00294,CLG0074,B.Tech,Information Technology,4,135237,540948,66
CRS00295,CLG0074,M.Tech,Data Science,2,68625,137250,74
CRS00296,CLG0074,M.Tech,Artificial Intelligence,2,68625,137250,77
CRS00297,CLG0075,B.Tech,Computer Science and Engineering,4,162495,649980,61
CRS00298,CLG0075,B.Tech,Information Technology,4,162495,649980,69
CRS00299,CLG0075,M.Tech,Data Science,2,74028,148056,67
CRS00300,CLG0075,M.Tech,Artificial Intelligence,2,74028,148056,62
CRS00301,CLG0076,B.Tech,Computer Science and Engineering,4,161507,646028,75
CRS00302,CLG0076,B.Tech,Information Technology,4,161507,646028,78
CRS00303,CLG0076,M.Tech,Data Science,2,80644,161288,76
CRS00304,CLG0076,M.Tech,Artificial Intelligence,2,80644,161288,78
CRS00305,CLG0077,B.Tech,Computer Science and Engineering,4,154275,617100,77
CRS00306,CLG0077,B.Tech,Information Technology,4,154275,617100,77
CRS00307,CLG0077,M.Tech,Data Science,2,74253,148506,79
CRS00308,CLG0077,M.Tech,Artificial Intelligence,2,74253,148506,62
CRS00309,CLG0078,B.Tech,Computer Science and Engineering,4,147738,590952,75
CRS00310,CLG0078,B.Tech,Information Technology,4,147738,590952,61
CRS00311,CLG0078,M.Tech,Data Science,2,78007,156014,68
CRS00312,CLG0078,M.Tech,Artificial Intelligence,2,78007,156014,66
CRS00313,CLG0079,B.Tech,Computer Science and Engineering,4,137463,549852,75
CRS00314,CLG0079,B.Tech,Information Technology,4,137463,549852,59
CRS00315,CLG0079,M.Tech,Data Science,2,76128,152256,65
CRS00316,CLG0079,M.Tech,Artificial Intelligence,2,76128,152256,65
CRS00317,CLG0080,MBA,Finance,2,1265426,2530852,231
CRS00318,CLG0080,MBA,Marketing,2,1265426,2530852,279
CRS00319,CLG0080,MBA,Operations Management,2,1265426,2530852,278
CRS00320,CLG0080,Executive MBA,General Management,1,1317686,1317686,285
CRS00321,CLG0081,MBA,Finance,2,1353878,2707756,226
CRS00322,CLG0081,MBA,Marketing,2,1353878,2707756,234
CRS00323,CLG0081,MBA,Operations Management,2,1353878,2707756,279
CRS00324,CLG0081,Executive MBA,General Management,1,1329796,1329796,277
CRS00325,CLG0082,MBA,Finance,2,1366202,2732404,272
CRS00326,CLG0082,MBA,Marketing,2,1366202,2732404,290
CRS00327,CLG0082,MBA,Operations Management,2,1366202,2732404,210
CRS00328,CLG0082,Executive MBA,General Management,1,1288046,1288046,204
CRS00329,CLG0083,MBA,Finance,2,1207921,2415842,286
CRS00330,CLG0083,MBA,Marketing,2,1207921,2415842,273
CRS00331,CLG0083,MBA,Operations Management,2,1207921,2415842,286
CRS00332,CLG0083,Executive MBA,General Management,1,1302671,1302671,273
CRS00333,CLG0084,MBA,Finance,2,1237288,2474576,277
CRS00334,CLG0084,MBA,Marketing,2,1237288,2474576,292
CRS00335,CLG0084,MBA,Operations Management,2,1237288,2474576,249
CRS00336,CLG0084,Executive MBA,General Management,1,1224730,1224730,268
CRS00337,CLG0085,MBA,Finance,2,1204157,2408314,213
CRS00338,CLG0085,MBA,Marketing,2,1204157,2408314,217
CRS00339,CLG0085,MBA,Operations Management,2,1204157,2408314,281
CRS00340,CLG0085,Executive MBA,General Management,1,1379072,1379072,281
CRS00341,CLG0086,MBA,Finance,2,839914,1679828,265
CRS00342,CLG0086,MBA,Marketing,2,839914,1679828,248
CRS00343,CLG0086,MBA,Operations Management,2,839914,1679828,245
CRS00344,CLG0086,Executive MBA,General Management,1,898883,898883,296
CRS00345,CLG0087,MBA,Finance,2,854653,1709306,273
CRS00346,CLG0087,MBA,Marketing,2,854653,1709306,272
CRS00347,CLG0087,MBA,Operations Management,2,854653,1709306,291
CRS00348,CLG0087,Executive MBA,General Management,1,849184,849184,256
CRS00349,CLG0088,MBA,Finance,2,794856,1589712,262
CRS00350,CLG0088,MBA,Marketing,2,794856,1589712,255
CRS00351,CLG0088,MBA,Operations Management,2,794856,1589712,246
CRS00352,CLG0088,Executive MBA,General Management,1,905067,905067,200
CRS00353,CLG0089,MBA,Finance,2,908624,1817248,267
CRS00354,CLG0089,MBA,Marketing,2,908624,1817248,207
CRS00355,CLG0089,MBA,Operations Management,2,908624,1817248,272
CRS00356,CLG0089,Executive MBA,General Management,1,804304,804304,265
CRS00357,CLG0090,MBA,Finance,2,876405,1752810,263
CRS00358,CLG0090,MBA,Marketing,2,876405,1752810,261
CRS00359,CLG0090,MBA,Operations Management,2,876405,1752810,216
CRS00360,CLG0090,Executive MBA,General Management,1,881607,881607,266
CRS00361,CLG0091,MBA,Finance,2,816340,1632680,222
CRS00362,CLG0091,MBA,Marketing,2,816340,1632680,285
CRS00363,CLG0091,MBA,Operations Management,2,816340,1632680,228
CRS00364,CLG0091,Executive MBA,General Management,1,793288,793288,216
CRS00365,CLG0092,MBA,Finance,2,887051,1774102,281
CRS00366,CLG0092,MBA,Marketing,2,887051,1774102,254
CRS00367,CLG0092,MBA,Operations Management,2,887051,1774102,236
CRS00368,CLG0092,Executive MBA,General Management,1,843127,843127,215
CRS00369,CLG0093,MBA,Finance,2,906456,1812912,285
CRS00370,CLG0093,MBA,Marketing,2,906456,1812912,200
CRS00371,CLG0093,MBA,Operations Management,2,906456,1812912,243
CRS00372,CLG0093,Executive MBA,General Management,1,846277,846277,297
CRS00373,CLG0094,MBA,Finance,2,901204,1802408,221
CRS00374,CLG0094,MBA,Marketing,2,901204,1802408,233
CRS00375,CLG0094,MBA,Operations Management,2,901204,1802408,285
CRS00376,CLG0094,Executive MBA,General Management,1,870297,870297,283
CRS00377,CLG0095,MBA,Finance,2,845894,1691788,270
CRS00378,CLG0095,MBA,Marketing,2,845894,1691788,280
CRS00379,CLG0095,MBA,Operations Management,2,845894,1691788,255
