cutoff_id,college_id,exam,category,course,closing_rank,year
CUT00058,CLG0006,JEE Advanced,ST,Electronics and Communication Engineering,95709,2023
CUT00059,CLG0006,JEE Advanced,General,Electronics and Communication Engineering,3069,2024
CUT00060,CLG0006,JEE Advanced,OBC-NCL,Electronics and Communication Engineering,12583,2025
CUT00061,CLG0007,JEE Advanced,General,Mechanical Engineering,11869,2021
CUT00062,CLG0007,JEE Advanced,OBC-NCL,Mechanical Engineering,49037,2022
CUT00063,CLG0007,JEE Advanced,OBC-NCL,Mechanical Engineering,54204,2023
CUT00064,CLG0007,JEE Advanced,OBC-NCL,Mechanical Engineering,45098,2024
CUT00065,CLG0007,JEE Advanced,EWS,Mechanical Engineering,61257,2025
CUT00066,CLG0007,JEE Advanced,General,Biotechnology,36405,2021
CUT00067,CLG0007,JEE Advanced,General,Biotechnology,37630,2022
CUT00068,CLG0007,JEE Advanced,SC,Biotechnology,180000,2023
CUT00069,CLG0007,JEE Advanced,OBC-NCL,Biotechnology,180000,2024
CUT00070,CLG0007,JEE Advanced,SC,Biotechnology,180000,2025
CUT00071,CLG0008,JEE Advanced,ST,Biotechnology,180000,2021
CUT00072,CLG0008,JEE Advanced,General,Biotechnology,139194,2022
CUT00073,CLG0008,JEE Advanced,SC,Biotechnology,180000,2023
CUT00074,CLG0008,JEE Advanced,EWS,Biotechnology,180000,2024
CUT00075,CLG0008,JEE Advanced,ST,Biotechnology,180000,2025
CUT00076,CLG0008,JEE Advanced,OBC-NCL,Computer Science and Engineering,14015,2021
CUT00077,CLG0008,JEE Advanced,EWS,Computer Science and Engineering,16760,2022
CUT00078,CLG0008,JEE Advanced,General,Computer Science and Engineering,3084,2023
CUT00079,CLG0008,JEE Advanced,OBC-NCL,Computer Science and Engineering,12422,2024
CUT00080,CLG0008,JEE Advanced,General,Computer Science and Engineering,3166,2025
CUT00081,CLG0009,JEE Advanced,ST,Biotechnology,180000,2021
CUT00082,CLG0009,JEE Advanced,EWS,Biotechnology,180000,2022
CUT00083,CLG0009,JEE Advanced,General,Biotechnology,120192,2023
CUT00084,CLG0009,JEE Advanced,General,Biotechnology,122221,2024
CUT00085,CLG0009,JEE Advanced,General,Biotechnology,129454,2025
CUT00086,CLG0009,JEE Advanced,General,Mechanical Engineering,38590,2021
CUT00087,CLG0009,JEE Advanced,ST,Mechanical Engineering,180000,2022
CUT00088,CLG0009,JEE Advanced,General,Mechanical Engineering,38353,2023
CUT00089,CLG0009,JEE Advanced,General,Mechanical Engineering,37733,2024
CUT00090,CLG0009,JEE Advanced,General,Mechanical Engineering,38719,2025
CUT00091,CLG0010,JEE Advanced,General,Biotechnology,144166,2021
CUT00092,CLG0010,JEE Advanced,General,Biotechnology,153077,2022
CUT00093,CLG0010,JEE Advanced,OBC-NCL,Biotechnology,180000,2023
CUT00094,CLG0010,JEE Advanced,General,Biotechnology,158646,2024
CUT00095,CLG0010,JEE Advanced,OBC-NCL,Biotechnology,180000,2025
CUT00096,CLG0010,JEE Advanced,General,Artificial Intelligence and Data Science,3991,2021
CUT00097,CLG0010,JEE Advanced,General,Artificial Intelligence and Data Science,3699,2022
CUT00098,CLG0010,JEE Advanced,ST,Artificial Intelligence and Data Science,115562,2023
CUT00099,CLG0010,JEE Advanced,OBC-NCL,Artificial Intelligence and Data Science,16315,2024
CUT00100,CLG0010,JEE Advanced,OBC-NCL,Artificial Intelligence and Data Science,16922,2025
CUT00101,CLG0011,JEE Advanced,SC,Mechanical Engineering,180000,2021
CUT00102,CLG0011,JEE Advanced,OBC-NCL,Mechanical Engineering,79576,2022
CUT00103,CLG0011,JEE Advanced,General,Mechanical Engineering,18520,2023
CUT00104,CLG0011,JEE Advanced,ST,Mechanical Engineering,180000,2024
CUT00105,CLG0011,JEE Advanced,OBC-NCL,Mechanical Engineering,78866,2025
CUT00106,CLG0011,JEE Advanced,SC,Metallurgical and Materials Engineering,180000,2021
CUT00107,CLG0011,JEE Advanced,EWS,Metallurgical and Materials Engineering,180000,2022
CUT00108,CLG0011,JEE Advanced,General,Metallurgical and Materials Engineering,74998,2023
CUT00109,CLG0011,JEE Advanced,ST,Metallurgical and Materials Engineering,180000,2024
CUT00110,CLG0011,JEE Advanced,OBC-NCL,Metallurgical and Materials Engineering,180000,2025
CUT00111,CLG0012,JEE Advanced,OBC-NCL,Civil Engineering,180000,2021
CUT00112,CLG0012,JEE Advanced,General,Civil Engineering,80304,2022
CUT00113,CLG0012,JEE Advanced,OBC-NCL,Civil Engineering,180000,2023
CUT00114,CLG0012,JEE Advanced,SC,Civil Engineering,180000,2024
CUT00115,CLG0012,JEE Advanced,General,Civil Engineering,80756,2025
CUT00116,CLG0012,JEE Advanced,General,Computer Science and Engineering,2099,2021
CUT00117,CLG0012,JEE Advanced,General,Computer Science and Engineering,2209,2022
CUT00118,CLG0012,JEE Advanced,SC,Computer Science and Engineering,32378,2023
CUT00119,CLG0012,JEE Advanced,General,Computer Science and Engineering,2393,2024
CUT00120,CLG0012,JEE Advanced,OBC-NCL,Computer Science and Engineering,9279,2025
CUT00121,CLG0013,JEE Advanced,SC,Electrical Engineering,180000,2021
CUT00122,CLG0013,JEE Advanced,General,Electrical Engineering,21753,2022
CUT00123,CLG0013,JEE Advanced,OBC-NCL,Electrical Engineering,92939,2023
CUT00124,CLG0013,JEE Advanced,ST,Electrical Engineering,180000,2024
CUT00125,CLG0013,JEE Advanced,OBC-NCL,Electrical Engineering,88920,2025
CUT00126,CLG0013,JEE Advanced,General,Artificial Intelligence and Data Science,3924,2021
CUT00127,CLG0013,JEE Advanced,OBC-NCL,Artificial Intelligence and Data Science,16672,2022
CUT00128,CLG0013,JEE Advanced,General,Artificial Intelligence and Data Science,4185,2023
CUT00129,CLG0013,JEE Advanced,OBC-NCL,Artificial Intelligence and Data Science,20113,2024
CUT00130,CLG0013,JEE Advanced,ST,Artificial Intelligence and Data Science,130336,2025
CUT00131,CLG0014,JEE Advanced,ST,Chemical Engineering,180000,2021
CUT00132,CLG0014,JEE Advanced,OBC-NCL,Chemical Engineering,180000,2022
CUT00133,CLG0014,JEE Advanced,ST,Chemical Engineering,180000,2023
CUT00134,CLG0014,JEE Advanced,SC,Chemical Engineering,180000,2024
CUT00135,CLG0014,JEE Advanced,EWS,Chemical Engineering,180000,2025
CUT00136,CLG0014,JEE Advanced,ST,Civil Engineering,180000,2021
CUT00137,CLG0014,JEE Advanced,General,Civil Engineering,65518,2022
CUT00138,CLG0014,JEE Advanced,ST,Civil Engineering,180000,2023
CUT00139,CLG0014,JEE Advanced,EWS,Civil Engineering,180000,2024
CUT00140,CLG0014,JEE Advanced,OBC-NCL,Civil Engineering,180000,2025
CUT00141,CLG0015,JEE Advanced,ST,Electrical Engineering,180000,2021
CUT00142,CLG0015,JEE Advanced,OBC-NCL,Electrical Engineering,94449,2022
CUT00143,CLG0015,JEE Advanced,OBC-NCL,Electrical Engineering,97182,2023
CUT00144,CLG0015,JEE Advanced,SC,Electrical Engineering,180000,2024
CUT00145,CLG0015,JEE Advanced,General,Electrical Engineering,21338,2025
CUT00146,CLG0015,JEE Advanced,EWS,Mechanical Engineering,180000,2021
CUT00147,CLG0015,JEE Advanced,ST,Mechanical Engineering,180000,2022
CUT00148,CLG0015,JEE Advanced,General,Mechanical Engineering,55301,2023
CUT00149,CLG0015,JEE Advanced,EWS,Mechanical Engineering,180000,2024
CUT00150,CLG0015,JEE Advanced,EWS,Mechanical Engineering,180000,2025
CUT00151,CLG0016,JEE Advanced,General,Chemical Engineering,58778,2021
CUT00152,CLG0016,JEE Advanced,ST,Chemical Engineering,180000,2022
CUT00153,CLG0016,JEE Advanced,General,Chemical Engineering,61052,2023
CUT00154,CLG0016,JEE Advanced,SC,Chemical Engineering,180000,2024
CUT00155,CLG0016,JEE Advanced,General,Chemical Engineering,68042,2025
CUT00156,CLG0016,JEE Advanced,General,Electronics and Communication Engineering,4152,2021
CUT00157,CLG0016,JEE Advanced,OBC-NCL,Electronics and Communication Engineering,19666,2022
CUT00158,CLG0016,JEE Advanced,OBC-NCL,Electronics and Communication Engineering,18031,2023
CUT00159,CLG0016,JEE Advanced,ST,Electronics and Communication Engineering,130936,2024
CUT00160,CLG0016,JEE Advanced,SC,Electronics and Communication Engineering,65587,2025
CUT00161,CLG0017,JEE Advanced,EWS,Electronics and Communication Engineering,73725,2021
CUT00162,CLG0017,JEE Advanced,General,Electronics and Communication Engineering,14047,2022
CUT00163,CLG0017,JEE Advanced,General,Electronics and Communication Engineering,12929,2023
CUT00164,CLG0017,JEE Advanced,OBC-NCL,Electronics and Communication Engineering,66436,2024
CUT00165,CLG0017,JEE Advanced,EWS,Electronics and Communication Engineering,84542,2025
CUT00166,CLG0017,JEE Advanced,General,Artificial Intelligence and Data Science,5664,2021
CUT00167,CLG0017,JEE Advanced,EWS,Artificial Intelligence and Data Science,32934,2022
CUT00168,CLG0017,JEE Advanced,General,Artificial Intelligence and Data Science,5127,2023
CUT00169,CLG0017,JEE Advanced,SC,Artificial Intelligence and Data Science,73810,2024
CUT00170,CLG0017,JEE Advanced,General,Artificial Intelligence and Data Science,6160,2025
CUT00171,CLG0018,JEE Advanced,SC,Electronics and Communication Engineering,180000,2021
CUT00172,CLG0018,JEE Advanced,EWS,Electronics and Communication Engineering,76696,2022
CUT00173,CLG0018,JEE Advanced,ST,Electronics and Communication Engineering,180000,2023
CUT00174,CLG0018,JEE Advanced,ST,Electronics and Communication Engineering,180000,2024
CUT00175,CLG0018,JEE Advanced,SC,Electronics and Communication Engineering,180000,2025
CUT00176,CLG0018,JEE Advanced,SC,Chemical Engineering,180000,2021
CUT00177,CLG0018,JEE Advanced,OBC-NCL,Chemical Engineering,180000,2022
CUT00178,CLG0018,JEE Advanced,ST,Chemical Engineering,180000,2023
CUT00179,CLG0018,JEE Advanced,General,Chemical Engineering,180000,2024
CUT00180,CLG0018,JEE Advanced,SC,Chemical Engineering,180000,2025
CUT00181,CLG0019,JEE Advanced,EWS,Chemical Engineering,180000,2021
CUT00182,CLG0019,JEE Advanced,ST,Chemical Engineering,180000,2022
CUT00183,CLG0019,JEE Advanced,General,Chemical Engineering,89594,2023
CUT00184,CLG0019,JEE Advanced,ST,Chemical Engineering,180000,2024
CUT00185,CLG0019,JEE Advanced,EWS,Chemical Engineering,180000,2025
CUT00186,CLG0019,JEE Advanced,OBC-NCL,Civil Engineering,180000,2021
CUT00187,CLG0019,JEE Advanced,ST,Civil Engineering,180000,2022
CUT00188,CLG0019,JEE Advanced,SC,Civil Engineering,180000,2023
CUT00189,CLG0019,JEE Advanced,OBC-NCL,Civil Engineering,180000,2024
CUT00190,CLG0019,JEE Advanced,OBC-NCL,Civil Engineering,180000,2025
CUT00191,CLG0020,JEE Advanced,SC,Computer Science and Engineering,68186,2021
CUT00192,CLG0020,JEE Advanced,OBC-NCL,Computer Science and Engineering,23052,2022
CUT00193,CLG0020,JEE Advanced,General,Computer Science and Engineering,5409,2023
CUT00194,CLG0020,JEE Advanced,ST,Computer Science and Engineering,164904,2024
CUT00195,CLG0020,JEE Advanced,General,Computer Science and Engineering,5186,2025
CUT00196,CLG0020,JEE Advanced,SC,Metallurgical and Materials Engineering,180000,2021
CUT00197,CLG0020,JEE Advanced,General,Metallurgical and Materials Engineering,180000,2022
CUT00198,CLG0020,JEE Advanced,General,Metallurgical and Materials Engineering,180000,2023
CUT00199,CLG0020,JEE Advanced,OBC-NCL,Metallurgical and Materials Engineering,180000,2024
CUT00200,CLG0020,JEE Advanced,General,Metallurgical and Materials Engineering,180000,2025
CUT00201,CLG0021,JEE Advanced,General,Biotechnology,180000,2021
CUT00202,CLG0021,JEE Advanced,OBC-NCL,Biotechnology,180000,2022
CUT00203,CLG0021,JEE Advanced,General,Biotechnology,180000,2023
CUT00204,CLG0021,JEE Advanced,ST,Biotechnology,180000,2024
CUT00205,CLG0021,JEE Advanced,ST,Biotechnology,180000,2025
CUT00206,CLG0021,JEE Advanced,OBC-NCL,Electronics and Communication Engineering,70953,2021
CUT00207,CLG0021,JEE Advanced,General,Electronics and Communication Engineering,16118,2022
CUT00208,CLG0021,JEE Advanced,General,Electronics and Communication Engineering,16888,2023
CUT00209,CLG0021,JEE Advanced,OBC-NCL,Electronics and Communication Engineering,67025,2024
CUT00210,CLG0021,JEE Advanced,General,Electronics and Communication Engineering,17360,2025
CUT00211,CLG0022,JEE Advanced,OBC-NCL,Artificial Intelligence and Data Science,29008,2021
CUT00212,CLG0022,JEE Advanced,OBC-NCL,Artificial Intelligence and Data Science,31458,2022
CUT00213,CLG0022,JEE Advanced,EWS,Artificial Intelligence and Data Science,36720,2023
CUT00214,CLG0022,JEE Advanced,General,Artificial Intelligence and Data Science,6296,2024
CUT00215,CLG0022,JEE Advanced,General,Artificial Intelligence and Data Science,6939,2025
CUT00216,CLG0022,JEE Advanced,ST,Electronics and Communication Engineering,180000,2021
CUT00217,CLG0022,JEE Advanced,General,Electronics and Communication Engineering,17966,2022
CUT00218,CLG0022,JEE Advanced,SC,Electronics and Communication Engineering,180000,2023
CUT00219,CLG0022,JEE Advanced,General,Electronics and Communication Engineering,17548,2024
CUT00220,CLG0022,JEE Advanced,General,Electronics and Communication Engineering,16329,2025
CUT00221,CLG0023,JEE Advanced,General,Biotechnology,180000,2021
CUT00222,CLG0023,JEE Advanced,OBC-NCL,Biotechnology,180000,2022
CUT00223,CLG0023,JEE Advanced,General,Biotechnology,180000,2023
CUT00224,CLG0023,JEE Advanced,EWS,Biotechnology,180000,2024
CUT00225,CLG0023,JEE Advanced,EWS,Biotechnology,180000,2025
CUT00226,CLG0023,JEE Advanced,ST,Civil Engineering,180000,2021
CUT00227,CLG0023,JEE Advanced,SC,Civil Engineering,180000,2022
CUT00228,CLG0023,JEE Advanced,ST,Civil Engineering,180000,2023
CUT00229,CLG0023,JEE Advanced,General,Civil Engineering,180000,2024
CUT00230,CLG0023,JEE Advanced,ST,Civil Engineering,180000,2025
CUT00231,CLG0024,JEE Main,ST,Chemical Engineering,1075314,2021
CUT00232,CLG0024,JEE Main,SC,Chemical Engineering,519598,2022
CUT00233,CLG0024,JEE Main,General,Chemical Engineering,37835,2023
CUT00234,CLG0024,JEE Main,ST,Chemical Engineering,1079628,2024
CUT00235,CLG0024,JEE Main,General,Chemical Engineering,39011,2025
CUT00236,CLG0024,JEE Main,OBC-NCL,Mechanical Engineering,54412,2021
CUT00237,CLG0024,JEE Main,General,Mechanical Engineering,13240,2022
CUT00238,CLG0024,JEE Main,General,Mechanical Engineering,11460,2023
CUT00239,CLG0024,JEE Main,OBC-NCL,Mechanical Engineering,54816,2024
CUT00240,CLG0024,JEE Main,General,Mechanical Engineering,12626,2025
CUT00241,CLG0025,JEE Main,OBC-NCL,Electronics and Communication Engineering,32369,2021
CUT00242,CLG0025,JEE Main,General,Electronics and Communication Engineering,6261,2022
CUT00243,CLG0025,JEE Main,ST,Electronics and Communication Engineering,190521,2023
CUT00244,CLG0025,JEE Main,General,Electronics and Communication Engineering,6559,2024
CUT00245,CLG0025,JEE Main,General,Electronics and Communication Engineering,6779,2025
CUT00246,CLG0025,JEE Main,EWS,Computer Science and Engineering,11671,2021
CUT00247,CLG0025,JEE Main,ST,Computer Science and Engineering,74232,2022
CUT00248,CLG0025,JEE Main,SC,Computer Science and Engineering,30897,2023
CUT00249,CLG0025,JEE Main,SC,Computer Science and Engineering,32113,2024
CUT00250,CLG0025,JEE Main,General,Computer Science and Engineering,2355,2025
CUT00251,CLG0026,JEE Main,EWS,Mechanical Engineering,297046,2021
CUT00252,CLG0026,JEE Main,SC,Mechanical Engineering,773287,2022
CUT00253,CLG0026,JEE Main,SC,Mechanical Engineering,704241,2023
CUT00254,CLG0026,JEE Main,General,Mechanical Engineering,51265,2024
CUT00255,CLG0026,JEE Main,EWS,Mechanical Engineering,301832,2025
CUT00256,CLG0026,JEE Main,General,Civil Engineering,134304,2021
CUT00257,CLG0026,JEE Main,General,Civil Engineering,139563,2022
CUT00258,CLG0026,JEE Main,OBC-NCL,Civil Engineering,589449,2023
CUT00259,CLG0026,JEE Main,General,Civil Engineering,130623,2024
CUT00260,CLG0026,JEE Main,General,Civil Engineering,136533,2025
CUT00261,CLG0027,JEE Main,General,Electronics and Communication Engineering,19304,2021
CUT00262,CLG0027,JEE Main,General,Electronics and Communication Engineering,15608,2022
CUT00263,CLG0027,JEE Main,SC,Electronics and Communication Engineering,231820,2023
CUT00264,CLG0027,JEE Main,OBC-NCL,Electronics and Communication Engineering,79616,2024
CUT00265,CLG0027,JEE Main,ST,Electronics and Communication Engineering,515398,2025
CUT00266,CLG0027,JEE Main,OBC-NCL,Mechanical Engineering,373595,2021
CUT00267,CLG0027,JEE Main,General,Mechanical Engineering,79264,2022
CUT00268,CLG0027,JEE Main,General,Mechanical Engineering,83543,2023
CUT00269,CLG0027,JEE Main,SC,Mechanical Engineering,1144844,2024
CUT00270,CLG0027,JEE Main,EWS,Mechanical Engineering,453603,2025
CUT00271,CLG0028,JEE Main,SC,Electronics and Communication Engineering,700195,2021
CUT00272,CLG0028,JEE Main,OBC-NCL,Electronics and Communication Engineering,246272,2022
CUT00273,CLG0028,JEE Main,SC,Electronics and Communication Engineering,742597,2023
CUT00274,CLG0028,JEE Main,SC,Electronics and Communication Engineering,701838,2024
CUT00275,CLG0028,JEE Main,OBC-NCL,Electronics and Communication Engineering,229685,2025
CUT00276,CLG0028,JEE Main,OBC-NCL,Artificial Intelligence and Data Science,98481,2021
CUT00277,CLG0028,JEE Main,SC,Artificial Intelligence and Data Science,280155,2022
CUT00278,CLG0028,JEE Main,SC,Artificial Intelligence and Data Science,266469,2023
CUT00279,CLG0028,JEE Main,SC,Artificial Intelligence and Data Science,302125,2024
CUT00280,CLG0028,JEE Main,SC,Artificial Intelligence and Data Science,276644,2025
CUT00281,CLG0029,JEE Main,SC,Civil Engineering,1200000,2021
CUT00282,CLG0029,JEE Main,SC,Civil Engineering,1200000,2022
CUT00283,CLG0029,JEE Main,OBC-NCL,Civil Engineering,1200000,2023
CUT00284,CLG0029,JEE Main,OBC-NCL,Civil Engineering,1130496,2024
CUT00285,CLG0029,JEE Main,General,Civil Engineering,297355,2025
CUT00286,CLG0029,JEE Main,EWS,Metallurgical and Materials Engineering,1200000,2021
CUT00287,CLG0029,JEE Main,ST,Metallurgical and Materials Engineering,1200000,2022
CUT00288,CLG0029,JEE Main,OBC-NCL,Metallurgical and Materials Engineering,1200000,2023
CUT00289,CLG0029,JEE Main,OBC-NCL,Metallurgical and Materials Engineering,1200000,2024
CUT00290,CLG0029,JEE Main,General,Metallurgical and Materials Engineering,420846,2025
CUT00291,CLG0030,JEE Main,SC,Chemical Engineering,1200000,2021
CUT00292,CLG0030,JEE Main,OBC-NCL,Chemical Engineering,1200000,2022
CUT00293,CLG0030,JEE Main,OBC-NCL,Chemical Engineering,1200000,2023
CUT00294,CLG0030,JEE Main,ST,Chemical Engineering,1200000,2024
CUT00295,CLG0030,JEE Main,OBC-NCL,Chemical Engineering,1200000,2025
CUT00296,CLG0030,JEE Main,SC,Electrical Engineering,746620,2021
CUT00297,CLG0030,JEE Main,OBC-NCL,Electrical Engineering,242871,2022
CUT00298,CLG0030,JEE Main,OBC-NCL,Electrical Engineering,240679,2023
CUT00299,CLG0030,JEE Main,OBC-NCL,Electrical Engineering,238355,2024
CUT00300,CLG0030,JEE Main,General,Electrical Engineering,55214,2025
CUT00301,CLG0031,JEE Main,General,Chemical Engineering,1083520,2021
CUT00302,CLG0031,JEE Main,General,Chemical Engineering,1049505,2022
CUT00303,CLG0031,JEE Main,SC,Chemical Engineering,1200000,2023
CUT00304,CLG0031,JEE Main,ST,Chemical Engineering,1200000,2024
CUT00305,CLG0031,JEE Main,SC,Chemical Engineering,1200000,2025
CUT00306,CLG0031,JEE Main,General,Biotechnology,1127646,2021
CUT00307,CLG0031,JEE Main,General,Biotechnology,1200000,2022
CUT00308,CLG0031,JEE Main,SC,Biotechnology,1200000,2023
CUT00309,CLG0031,JEE Main,EWS,Biotechnology,1200000,2024
CUT00310,CLG0031,JEE Main,EWS,Biotechnology,1200000,2025
CUT00311,CLG0032,JEE Main,SC,Mechanical Engineering,1200000,2021
CUT00312,CLG0032,JEE Main,ST,Mechanical Engineering,1200000,2022
CUT00313,CLG0032,JEE Main,OBC-NCL,Mechanical Engineering,1195632,2023
CUT00314,CLG0032,JEE Main,General,Mechanical Engineering,280278,2024
CUT00315,CLG0032,JEE Main,EWS,Mechanical Engineering,1200000,2025
CUT00316,CLG0032,JEE Main,General,Civil Engineering,688675,2021
CUT00317,CLG0032,JEE Main,OBC-NCL,Civil Engineering,1200000,2022
CUT00318,CLG0032,JEE Main,ST,Civil Engineering,1200000,2023
CUT00319,CLG0032,JEE Main,General,Civil Engineering,735392,2024
CUT00320,CLG0032,JEE Main,SC,Civil Engineering,1200000,2025
CUT00321,CLG0033,JEE Main,ST,Electronics and Communication Engineering,1200000,2021
CUT00322,CLG0033,JEE Main,ST,Electronics and Communication Engineering,1200000,2022
CUT00323,CLG0033,JEE Main,OBC-NCL,Electronics and Communication Engineering,205305,2023
CUT00324,CLG0033,JEE Main,OBC-NCL,Electronics and Communication Engineering,184003,2024
CUT00325,CLG0033,JEE Main,ST,Electronics and Communication Engineering,1200000,2025
CUT00326,CLG0033,JEE Main,ST,Electrical Engineering,1200000,2021
CUT00327,CLG0033,JEE Main,OBC-NCL,Electrical Engineering,357123,2022
CUT00328,CLG0033,JEE Main,General,Electrical Engineering,81318,2023
CUT00329,CLG0033,JEE Main,ST,Electrical Engineering,1200000,2024
CUT00330,CLG0033,JEE Main,OBC-NCL,Electrical Engineering,366246,2025
CUT00331,CLG0034,JEE Main,SC,Biotechnology,1200000,2021
CUT00332,CLG0034,JEE Main,General,Biotechnology,1200000,2022
CUT00333,CLG0034,JEE Main,OBC-NCL,Biotechnology,1200000,2023
CUT00334,CLG0034,JEE Main,General,Biotechnology,1054949,2024
CUT00335,CLG0034,JEE Main,General,Biotechnology,1044682,2025
CUT00336,CLG0034,JEE Main,General,Mechanical Engineering,297186,2021
CUT00337,CLG0034,JEE Main,OBC-NCL,Mechanical Engineering,1200000,2022
CUT00338,CLG0034,JEE Main,SC,Mechanical Engineering,1200000,2023
CUT00339,CLG0034,JEE Main,OBC-NCL,Mechanical Engineering,1200000,2024
CUT00340,CLG0034,JEE Main,EWS,Mechanical Engineering,1200000,2025
CUT00341,CLG0035,JEE Main,ST,Electrical Engineering,1200000,2021
CUT00342,CLG0035,JEE Main,General,Electrical Engineering,187481,2022
CUT00343,CLG0035,JEE Main,ST,Electrical Engineering,1200000,2023
CUT00344,CLG0035,JEE Main,OBC-NCL,Electrical Engineering,869046,2024
CUT00345,CLG0035,JEE Main,OBC-NCL,Electrical Engineering,772760,2025
CUT00346,CLG0035,JEE Main,EWS,Metallurgical and Materials Engineering,1200000,2021
CUT00347,CLG0035,JEE Main,General,Metallurgical and Materials Engineering,1200000,2022
CUT00348,CLG0035,JEE Main,General,Metallurgical and Materials Engineering,1200000,2023
CUT00349,CLG0035,JEE Main,OBC-NCL,Metallurgical and Materials Engineering,1200000,2024
